Channel,Region,Category,Value
1,3,Fresh,3157
1,3,Fresh,12356
1,3,Fresh,112151
1,3,Fresh,694
1,3,Fresh,36847
1,3,Fresh,327
1,3,Fresh,8170
1,3,Fresh,3009
1,3,Fresh,2438
2,3,Fresh,8040
2,3,Fresh,834
1,3,Fresh,16936
1,3,Fresh,13624
1,3,Fresh,5509
2,3,Fresh,180
1,3,Fresh,7107
1,3,Fresh,17023
1,1,Fresh,30624
2,1,Fresh,2427
1,1,Fresh,11686
1,1,Fresh,9670
2,1,Fresh,3067
2,1,Fresh,4484
1,1,Fresh,25203
1,1,Fresh,583
1,1,Fresh,1956
2,1,Fresh,1107
1,1,Fresh,6373
2,1,Fresh,2541
1,1,Fresh,1537
2,1,Fresh,5550
1,1,Fresh,18567
2,1,Fresh,12119
1,1,Fresh,7291
1,1,Fresh,3317
2,1,Fresh,2362
1,1,Fresh,2806
2,1,Fresh,2532
1,1,Fresh,18044
2,1,Fresh,18
1,1,Fresh,4155
1,1,Fresh,14755
1,1,Fresh,5396
1,1,Fresh,5041
2,1,Fresh,2790
1,1,Fresh,7274
1,1,Fresh,12680
2,1,Fresh,20782
1,1,Fresh,4042
1,1,Fresh,1869
1,1,Fresh,8656
2,1,Fresh,11072
1,1,Fresh,2344
1,1,Fresh,25962
1,1,Fresh,964
1,1,Fresh,15603
1,1,Fresh,1838
1,1,Fresh,8635
1,1,Fresh,18692
1,1,Fresh,7363
1,1,Fresh,47493
1,1,Fresh,22096
1,1,Fresh,24929
1,1,Fresh,18226
1,1,Fresh,11210
1,1,Fresh,6202
2,1,Fresh,3062
1,1,Fresh,8885
1,1,Fresh,13569
1,1,Fresh,15671
1,1,Fresh,8040
1,1,Fresh,3191
2,1,Fresh,6134
1,1,Fresh,6623
1,1,Fresh,29526
1,1,Fresh,10379
1,1,Fresh,31614
1,1,Fresh,11092
1,1,Fresh,8475
1,1,Fresh,56083
1,1,Fresh,53205
1,1,Fresh,9193
1,1,Fresh,7858
1,1,Fresh,23257
1,1,Fresh,2153
2,1,Fresh,1073
1,1,Fresh,5909
2,1,Fresh,572
1,1,Fresh,20893
2,1,Fresh,11908
1,1,Fresh,15218
1,1,Fresh,4720
1,1,Fresh,2083
1,1,Fresh,514
1,3,Fresh,36817
1,3,Fresh,894
1,3,Fresh,680
1,3,Fresh,27901
1,3,Fresh,9061
1,3,Fresh,11693
2,3,Fresh,17360
1,3,Fresh,3366
2,3,Fresh,12238
1,3,Fresh,49063
1,3,Fresh,25767
1,3,Fresh,68951
1,3,Fresh,40254
1,3,Fresh,7149
1,3,Fresh,15354
1,3,Fresh,16260
1,3,Fresh,42786
1,3,Fresh,2708
1,3,Fresh,6022
1,3,Fresh,2838
2,2,Fresh,3996
1,2,Fresh,21273
2,2,Fresh,7588
1,2,Fresh,19087
2,2,Fresh,8090
2,2,Fresh,6758
1,2,Fresh,444
2,2,Fresh,16448
2,2,Fresh,5283
2,2,Fresh,2886
2,2,Fresh,2599
2,2,Fresh,161
2,2,Fresh,243
2,2,Fresh,6468
1,2,Fresh,17327
1,2,Fresh,6987
2,2,Fresh,918
1,2,Fresh,7034
1,2,Fresh,29635
2,2,Fresh,2137
1,2,Fresh,9784
1,2,Fresh,10617
2,2,Fresh,1479
1,2,Fresh,7127
1,2,Fresh,1182
1,2,Fresh,11800
2,2,Fresh,9759
1,2,Fresh,1774
1,2,Fresh,9155
1,2,Fresh,15881
1,2,Fresh,13360
1,2,Fresh,25977
1,2,Fresh,32717
1,2,Fresh,4414
1,2,Fresh,542
1,2,Fresh,16933
1,2,Fresh,5113
1,2,Fresh,9790
2,2,Fresh,11223
1,2,Fresh,22321
2,2,Fresh,8565
2,2,Fresh,16823
2,2,Fresh,27082
1,2,Fresh,13970
1,2,Fresh,9351
1,2,Fresh,3
1,2,Fresh,2617
2,3,Fresh,381
2,3,Fresh,2320
1,3,Fresh,255
2,3,Fresh,1689
1,3,Fresh,3043
1,3,Fresh,1198
2,3,Fresh,2771
2,3,Fresh,27380
1,3,Fresh,3428
2,3,Fresh,5981
1,3,Fresh,3521
2,3,Fresh,1210
1,3,Fresh,608
2,3,Fresh,117
1,3,Fresh,14039
1,3,Fresh,190
1,3,Fresh,22686
2,3,Fresh,37
1,3,Fresh,759
1,3,Fresh,796
1,3,Fresh,19746
1,3,Fresh,4734
1,3,Fresh,2121
1,3,Fresh,4627
1,3,Fresh,2615
2,3,Fresh,4692
1,3,Fresh,9561
1,3,Fresh,3477
1,3,Fresh,22335
1,3,Fresh,6211
2,3,Fresh,39679
1,3,Fresh,20105
1,3,Fresh,3884
2,3,Fresh,15076
1,3,Fresh,6338
1,3,Fresh,5841
2,3,Fresh,3136
1,3,Fresh,38793
1,3,Fresh,3225
2,3,Fresh,4048
1,3,Fresh,28257
1,3,Fresh,17770
1,3,Fresh,34454
1,3,Fresh,1821
1,3,Fresh,10683
1,3,Fresh,11635
1,3,Fresh,1206
1,3,Fresh,20918
1,3,Fresh,9785
1,3,Fresh,9385
1,3,Fresh,3352
1,3,Fresh,2647
1,3,Fresh,518
1,3,Fresh,23632
1,3,Fresh,12377
1,3,Fresh,9602
2,3,Fresh,4515
1,3,Fresh,11535
1,3,Fresh,11442
1,3,Fresh,9612
1,3,Fresh,4446
1,3,Fresh,27167
1,3,Fresh,26539
1,3,Fresh,25606
1,3,Fresh,18073
1,3,Fresh,6884
1,3,Fresh,25066
2,3,Fresh,7362
2,3,Fresh,8257
1,3,Fresh,8708
1,3,Fresh,6633
1,3,Fresh,2126
1,3,Fresh,97
1,3,Fresh,4983
1,3,Fresh,5969
2,3,Fresh,7842
2,3,Fresh,4389
1,3,Fresh,5065
2,3,Fresh,660
1,3,Fresh,8861
1,3,Fresh,4456
2,3,Fresh,17063
1,3,Fresh,26400
2,3,Fresh,17565
2,3,Fresh,16980
1,3,Fresh,11243
1,3,Fresh,13134
1,3,Fresh,31012
1,3,Fresh,3047
1,3,Fresh,8607
1,3,Fresh,3097
1,3,Fresh,8533
1,3,Fresh,21117
1,3,Fresh,1982
1,3,Fresh,16731
1,3,Fresh,29703
1,3,Fresh,39228
2,3,Fresh,14531
1,3,Fresh,10290
1,3,Fresh,2787
2,3,Milk,9656
2,3,Milk,9810
2,3,Milk,8808
1,3,Milk,1196
2,3,Milk,5410
2,3,Milk,8259
2,3,Milk,3199
2,3,Milk,4956
1,3,Milk,3648
2,3,Milk,11093
2,3,Milk,5403
2,3,Milk,1124
2,3,Milk,12319
2,3,Milk,6208
2,3,Milk,9465
1,3,Milk,1114
2,3,Milk,8816
1,3,Milk,6157
2,3,Milk,6327
1,3,Milk,2495
2,3,Milk,4519
1,3,Milk,871
1,3,Milk,1917
2,3,Milk,36423
2,3,Milk,9776
2,3,Milk,4230
1,3,Milk,961
1,3,Milk,803
2,3,Milk,20484
1,3,Milk,2100
1,3,Milk,3610
1,3,Milk,4339
1,3,Milk,1318
1,3,Milk,4786
1,3,Milk,1979
2,3,Milk,5491
1,3,Milk,4362
2,3,Milk,10556
2,3,Milk,15729
1,3,Milk,555
1,3,Milk,4332
1,3,Milk,3065
2,3,Milk,7555
2,3,Milk,11095
2,3,Milk,7027
2,3,Milk,22044
2,3,Milk,14069
2,3,Milk,54259
2,3,Milk,6152
2,3,Milk,21412
1,3,Milk,1095
1,3,Milk,4051
2,3,Milk,3916
2,3,Milk,10473
1,3,Milk,1449
1,3,Milk,3683
2,3,Milk,29892
2,3,Milk,9933
1,3,Milk,1970
1,3,Milk,5360
2,3,Milk,3045
2,3,Milk,38369
2,3,Milk,6245
2,3,Milk,11601
1,3,Milk,1227
2,3,Milk,20959
1,3,Milk,1534
2,3,Milk,6759
1,3,Milk,7260
1,3,Milk,2820
1,3,Milk,2037
1,3,Milk,1266
1,3,Milk,5139
2,3,Milk,5332
2,3,Milk,6343
1,3,Milk,1137
1,3,Milk,3587
2,3,Milk,12697
1,3,Milk,1175
1,3,Milk,3259
1,3,Milk,829
2,3,Milk,9540
2,3,Milk,9232
1,3,Milk,1563
2,3,Milk,3327
2,3,Milk,46197
2,3,Milk,73498
1,3,Milk,5025
1,3,Milk,542
1,3,Milk,3836
1,3,Milk,596
1,3,Milk,2762
2,3,Milk,27472
1,3,Milk,3090
2,3,Milk,12220
1,3,Milk,2920
2,3,Milk,2616
1,3,Milk,254
1,3,Milk,112
1,3,Milk,2182
2,3,Milk,7779
2,3,Milk,10810
2,3,Milk,6459
1,3,Milk,3504
1,3,Milk,2132
1,3,Milk,1014
2,3,Milk,6337
2,3,Milk,10646
2,3,Milk,8397
2,3,Milk,16729
1,3,Milk,1648
2,3,Milk,11114
1,3,Milk,2770
1,3,Milk,2295
1,3,Milk,1080
1,3,Milk,793
1,3,Milk,2521
1,3,Milk,3880
1,3,Milk,1891
1,3,Milk,2344
1,3,Milk,1200
1,3,Milk,3234
1,3,Milk,201
2,3,Milk,10769
1,3,Milk,1642
1,3,Milk,3473
1,3,Milk,1840
2,3,Milk,7243
1,3,Milk,8847
1,3,Milk,926
1,3,Milk,2428
1,3,Milk,589
1,3,Milk,2032
1,3,Milk,1042
1,3,Milk,1882
1,3,Milk,1289
1,3,Milk,8579
1,3,Milk,8080
1,3,Milk,4257
1,3,Milk,4979
1,3,Milk,4280
1,3,Milk,13252
1,3,Milk,7152
1,3,Milk,1596
1,3,Milk,3677
2,3,Milk,8384
1,3,Milk,1936
1,3,Milk,3373
1,3,Milk,584
1,3,Milk,1433
1,3,Milk,1825
1,3,Milk,3328
1,3,Milk,1371
1,3,Milk,9250
1,3,Milk,55
2,3,Milk,10690
2,3,Milk,5291
1,3,Milk,1366
2,3,Milk,6570
2,3,Milk,7704
2,3,Milk,3651
1,3,Milk,540
1,3,Milk,2024
2,3,Milk,15726
2,3,Milk,7603
2,3,Milk,12653
2,3,Milk,6721
1,3,Milk,3195
1,3,Milk,735
1,3,Milk,717
2,3,Milk,8675
2,3,Milk,25862
1,3,Milk,5479
2,3,Milk,7677
1,3,Milk,1208
2,3,Milk,7845
1,3,Milk,6958
1,3,Milk,7330
1,3,Milk,7075
1,3,Milk,4888
1,3,Milk,6036
1,3,Milk,29627
1,3,Milk,8533
1,3,Milk,43950
1,3,Milk,918
1,3,Milk,6448
1,3,Milk,521
1,3,Milk,8002
2,3,Milk,7639
2,3,Milk,11577
1,3,Milk,6250
1,3,Milk,295
1,3,Milk,1461
2,3,Milk,3485
1,3,Milk,1012
1,3,Milk,5139
1,1,Milk,7209
2,1,Milk,7097
1,1,Milk,2154
1,1,Milk,2280
2,1,Milk,13240
2,1,Milk,14399
1,1,Milk,11487
1,1,Milk,685
1,1,Milk,891
2,1,Milk,11711
1,1,Milk,780
2,1,Milk,4737
1,1,Milk,3748
2,1,Milk,12729
1,1,Milk,1895
2,1,Milk,28326
1,1,Milk,1012
1,1,Milk,6602
2,1,Milk,6551
1,1,Milk,10765
2,1,Milk,16599
1,1,Milk,1475
2,1,Milk,7504
1,1,Milk,367
1,1,Milk,899
1,1,Milk,7503
1,1,Milk,1115
2,1,Milk,2527
1,1,Milk,659
1,1,Milk,3243
2,1,Milk,5921
1,1,Milk,2204
1,1,Milk,577
1,1,Milk,2746
2,1,Milk,5989
1,1,Milk,10678
1,1,Milk,1780
1,1,Milk,4984
1,1,Milk,2703
1,1,Milk,6380
1,1,Milk,820
1,1,Milk,3838
1,1,Milk,475
1,1,Milk,2567
1,1,Milk,3575
1,1,Milk,1801
1,1,Milk,659
1,1,Milk,3576
1,1,Milk,7775
2,1,Milk,6154
1,1,Milk,2428
1,1,Milk,346
1,1,Milk,5279
1,1,Milk,3795
1,1,Milk,1993
2,1,Milk,23133
1,1,Milk,1860
1,1,Milk,7961
1,1,Milk,17972
1,1,Milk,489
1,1,Milk,5008
1,1,Milk,1931
1,1,Milk,4563
1,1,Milk,4959
1,1,Milk,4885
1,1,Milk,1110
1,1,Milk,1372
1,1,Milk,1115
2,1,Milk,9679
1,1,Milk,23527
2,1,Milk,9763
1,1,Milk,1222
2,1,Milk,8053
1,1,Milk,258
1,1,Milk,1032
1,1,Milk,5007
1,1,Milk,8323
1,3,Milk,3045
1,3,Milk,1703
1,3,Milk,1610
1,3,Milk,3749
1,3,Milk,829
1,3,Milk,2317
2,3,Milk,6200
1,3,Milk,2884
2,3,Milk,7108
1,3,Milk,3965
1,3,Milk,3613
1,3,Milk,4411
1,3,Milk,640
1,3,Milk,2247
1,3,Milk,2102
1,3,Milk,594
1,3,Milk,286
1,3,Milk,2160
1,3,Milk,3354
1,3,Milk,3086
2,2,Milk,11103
1,2,Milk,2013
2,2,Milk,1897
1,2,Milk,1304
2,2,Milk,3199
2,2,Milk,4560
1,2,Milk,879
2,2,Milk,6243
2,2,Milk,13316
2,2,Milk,5302
2,2,Milk,3688
2,2,Milk,7460
2,2,Milk,12939
2,2,Milk,12867
1,2,Milk,2374
1,2,Milk,1020
2,2,Milk,20655
1,2,Milk,1492
1,2,Milk,2335
2,2,Milk,3737
1,2,Milk,925
1,2,Milk,1795
2,2,Milk,14982
1,2,Milk,1375
1,2,Milk,3088
1,2,Milk,2713
2,2,Milk,25071
1,2,Milk,3696
1,2,Milk,1897
1,2,Milk,713
1,2,Milk,944
1,2,Milk,3587
1,2,Milk,16784
1,2,Milk,1610
1,2,Milk,899
1,2,Milk,2209
1,2,Milk,1486
1,2,Milk,1786
2,2,Milk,14881
1,2,Milk,3216
2,2,Milk,4980
2,2,Milk,928
2,2,Milk,6817
1,2,Milk,1511
1,2,Milk,1347
1,2,Milk,333
1,2,Milk,1188
2,3,Milk,4025
2,3,Milk,5763
1,3,Milk,5758
2,3,Milk,6964
1,3,Milk,1172
1,3,Milk,2602
2,3,Milk,6939
2,3,Milk,7184
1,3,Milk,2380
2,3,Milk,14641
1,3,Milk,1099
2,3,Milk,10044
1,3,Milk,1106
2,3,Milk,6264
1,3,Milk,7393
1,3,Milk,727
1,3,Milk,134
2,3,Milk,1275
1,3,Milk,18664
1,3,Milk,5878
1,3,Milk,2872
1,3,Milk,607
1,3,Milk,1601
1,3,Milk,997
1,3,Milk,873
2,3,Milk,6128
1,3,Milk,2217
1,3,Milk,894
1,3,Milk,1196
1,3,Milk,337
2,3,Milk,3944
1,3,Milk,1887
1,3,Milk,3801
2,3,Milk,6257
1,3,Milk,2256
1,3,Milk,1450
2,3,Milk,8630
1,3,Milk,3154
1,3,Milk,3294
2,3,Milk,5164
1,3,Milk,944
1,3,Milk,4591
1,3,Milk,7435
1,3,Milk,1364
1,3,Milk,21858
1,3,Milk,922
1,3,Milk,3620
1,3,Milk,1916
1,3,Milk,848
1,3,Milk,1530
1,3,Milk,1181
1,3,Milk,2761
1,3,Milk,4180
1,3,Milk,6730
1,3,Milk,865
1,3,Milk,1316
2,3,Milk,11991
1,3,Milk,1666
1,3,Milk,1032
1,3,Milk,577
1,3,Milk,906
1,3,Milk,2801
1,3,Milk,4753
1,3,Milk,11006
1,3,Milk,4613
1,3,Milk,1046
1,3,Milk,5010
2,3,Milk,12844
2,3,Milk,3880
1,3,Milk,3634
1,3,Milk,2096
1,3,Milk,3289
1,3,Milk,3605
1,3,Milk,4859
1,3,Milk,1990
2,3,Milk,6046
2,3,Milk,10940
1,3,Milk,5499
2,3,Milk,8494
1,3,Milk,3783
1,3,Milk,5266
2,3,Milk,4847
1,3,Milk,1377
2,3,Milk,3686
2,3,Milk,2884
1,3,Milk,2408
1,3,Milk,9347
1,3,Milk,16687
1,3,Milk,5970
1,3,Milk,1750
1,3,Milk,4230
1,3,Milk,5506
1,3,Milk,1162
1,3,Milk,3218
1,3,Milk,3922
1,3,Milk,12051
1,3,Milk,1431
2,3,Milk,15488
1,3,Milk,1981
1,3,Milk,1698
2,3,Grocery,7561
2,3,Grocery,9568
2,3,Grocery,7684
1,3,Grocery,4221
2,3,Grocery,7198
2,3,Grocery,5126
2,3,Grocery,6975
2,3,Grocery,9426
1,3,Grocery,6192
2,3,Grocery,18881
2,3,Grocery,12974
2,3,Grocery,4523
2,3,Grocery,11757
2,3,Grocery,14982
2,3,Grocery,12091
1,3,Grocery,3821
2,3,Grocery,12121
1,3,Grocery,2933
2,3,Grocery,10099
1,3,Grocery,9464
2,3,Grocery,4602
1,3,Grocery,2010
1,3,Grocery,4469
2,3,Grocery,22019
2,3,Grocery,13792
2,3,Grocery,7595
1,3,Grocery,2861
1,3,Grocery,3045
2,3,Grocery,25957
1,3,Grocery,2609
1,3,Grocery,11107
1,3,Grocery,3133
1,3,Grocery,2886
1,3,Grocery,7326
1,3,Grocery,2262
2,3,Grocery,11091
1,3,Grocery,5428
2,3,Grocery,12477
2,3,Grocery,16709
1,3,Grocery,902
1,3,Grocery,4757
1,3,Grocery,5956
2,3,Grocery,14961
2,3,Grocery,23998
2,3,Grocery,10471
2,3,Grocery,21531
2,3,Grocery,21955
2,3,Grocery,55571
2,3,Grocery,10868
2,3,Grocery,28921
1,3,Grocery,1980
1,3,Grocery,6996
2,3,Grocery,5876
2,3,Grocery,11532
1,3,Grocery,1947
1,3,Grocery,5005
2,3,Grocery,26866
2,3,Grocery,10487
1,3,Grocery,1648
1,3,Grocery,8040
2,3,Grocery,7854
2,3,Grocery,59598
2,3,Grocery,6544
2,3,Grocery,15775
1,3,Grocery,3250
2,3,Grocery,45828
1,3,Grocery,7417
2,3,Grocery,13462
1,3,Grocery,3993
1,3,Grocery,1293
1,3,Grocery,3202
1,3,Grocery,21042
1,3,Grocery,2661
2,3,Grocery,8713
2,3,Grocery,9794
1,3,Grocery,3
1,3,Grocery,6532
2,3,Grocery,28540
1,3,Grocery,2067
1,3,Grocery,3655
1,3,Grocery,3009
2,3,Grocery,14403
2,3,Grocery,11009
1,3,Grocery,1783
2,3,Grocery,4814
2,3,Grocery,92780
2,3,Grocery,32114
1,3,Grocery,8117
1,3,Grocery,4042
1,3,Grocery,5330
1,3,Grocery,1638
1,3,Grocery,2530
2,3,Grocery,32034
1,3,Grocery,2062
2,3,Grocery,11323
1,3,Grocery,6252
2,3,Grocery,8118
1,3,Grocery,610
1,3,Grocery,778
1,3,Grocery,1909
2,3,Grocery,12144
2,3,Grocery,16267
2,3,Grocery,7677
1,3,Grocery,8906
1,3,Grocery,3445
1,3,Grocery,3970
2,3,Grocery,10704
2,3,Grocery,14886
2,3,Grocery,6981
2,3,Grocery,28986
1,3,Grocery,1694
2,3,Grocery,17569
1,3,Grocery,2469
1,3,Grocery,1733
1,3,Grocery,2000
1,3,Grocery,2988
1,3,Grocery,3355
1,3,Grocery,5380
1,3,Grocery,2362
1,3,Grocery,2147
1,3,Grocery,3412
1,3,Grocery,1498
1,3,Grocery,245
2,3,Grocery,8814
1,3,Grocery,2961
1,3,Grocery,7102
1,3,Grocery,1658
2,3,Grocery,10685
1,3,Grocery,3823
1,3,Grocery,1510
1,3,Grocery,699
1,3,Grocery,314
1,3,Grocery,2479
1,3,Grocery,1235
1,3,Grocery,2174
1,3,Grocery,2591
1,3,Grocery,7030
1,3,Grocery,8282
1,3,Grocery,5034
1,3,Grocery,3343
1,3,Grocery,7305
1,3,Grocery,5189
1,3,Grocery,8253
1,3,Grocery,1096
1,3,Grocery,1988
2,3,Grocery,34792
1,3,Grocery,2177
1,3,Grocery,2707
1,3,Grocery,542
1,3,Grocery,1651
1,3,Grocery,1765
1,3,Grocery,2022
1,3,Grocery,3135
1,3,Grocery,2368
1,3,Grocery,137
2,3,Grocery,19460
2,3,Grocery,14855
1,3,Grocery,2474
2,3,Grocery,9618
2,3,Grocery,14682
2,3,Grocery,12822
1,3,Grocery,283
1,3,Grocery,3810
2,3,Grocery,26870
2,3,Grocery,8584
2,3,Grocery,19858
2,3,Grocery,9170
1,3,Grocery,3268
1,3,Grocery,803
1,3,Grocery,2155
2,3,Grocery,13430
2,3,Grocery,19816
1,3,Grocery,6536
2,3,Grocery,19805
1,3,Grocery,5241
2,3,Grocery,11874
1,3,Grocery,6536
1,3,Grocery,4533
1,3,Grocery,4945
1,3,Grocery,2500
1,3,Grocery,8887
1,3,Grocery,18148
1,3,Grocery,10518
1,3,Grocery,20170
1,3,Grocery,4710
1,3,Grocery,1139
1,3,Grocery,854
1,3,Grocery,9819
2,3,Grocery,11687
2,3,Grocery,11522
1,3,Grocery,1981
1,3,Grocery,1381
1,3,Grocery,2251
2,3,Grocery,20292
1,3,Grocery,2974
1,3,Grocery,5230
1,1,Grocery,4897
2,1,Grocery,10391
1,1,Grocery,6824
1,1,Grocery,2112
2,1,Grocery,23127
2,1,Grocery,24708
1,1,Grocery,9490
1,1,Grocery,2216
1,1,Grocery,5226
2,1,Grocery,23596
1,1,Grocery,950
2,1,Grocery,6089
1,1,Grocery,5838
2,1,Grocery,16767
1,1,Grocery,1393
2,1,Grocery,39694
1,1,Grocery,2062
1,1,Grocery,6861
2,1,Grocery,11364
1,1,Grocery,15538
2,1,Grocery,36486
1,1,Grocery,2046
2,1,Grocery,15205
1,1,Grocery,1390
1,1,Grocery,1382
1,1,Grocery,10646
1,1,Grocery,2856
2,1,Grocery,5265
1,1,Grocery,1499
1,1,Grocery,4157
2,1,Grocery,9212
1,1,Grocery,1563
1,1,Grocery,572
1,1,Grocery,2501
2,1,Grocery,5615
1,1,Grocery,3828
1,1,Grocery,3838
1,1,Grocery,3316
1,1,Grocery,3833
1,1,Grocery,2824
1,1,Grocery,3047
1,1,Grocery,593
1,1,Grocery,585
1,1,Grocery,3779
1,1,Grocery,7041
1,1,Grocery,2475
1,1,Grocery,2914
1,1,Grocery,5119
1,1,Grocery,10817
2,1,Grocery,13916
1,1,Grocery,1777
1,1,Grocery,489
1,1,Grocery,2406
1,1,Grocery,2070
1,1,Grocery,1799
2,1,Grocery,33586
1,1,Grocery,4740
1,1,Grocery,16966
1,1,Grocery,4748
1,1,Grocery,1495
1,1,Grocery,5249
1,1,Grocery,1883
1,1,Grocery,2124
1,1,Grocery,7336
1,1,Grocery,2157
1,1,Grocery,1094
1,1,Grocery,1677
1,1,Grocery,6684
2,1,Grocery,15445
1,1,Grocery,13699
2,1,Grocery,22182
1,1,Grocery,2576
2,1,Grocery,19847
1,1,Grocery,1138
1,1,Grocery,975
1,1,Grocery,1563
1,1,Grocery,6869
1,3,Grocery,1493
1,3,Grocery,1841
1,3,Grocery,223
1,3,Grocery,6964
1,3,Grocery,683
1,3,Grocery,2543
2,3,Grocery,9694
1,3,Grocery,2431
2,3,Grocery,6235
1,3,Grocery,4252
1,3,Grocery,2013
1,3,Grocery,12609
1,3,Grocery,3600
1,3,Grocery,1242
1,3,Grocery,2828
1,3,Grocery,1296
1,3,Grocery,471
1,3,Grocery,2642
1,3,Grocery,3261
1,3,Grocery,4329
2,2,Grocery,12469
1,2,Grocery,6550
2,2,Grocery,5234
1,2,Grocery,3643
2,2,Grocery,6986
2,2,Grocery,9965
1,2,Grocery,2060
2,2,Grocery,6360
2,2,Grocery,20399
2,2,Grocery,9785
2,2,Grocery,13829
2,2,Grocery,24773
2,2,Grocery,8852
2,2,Grocery,21570
1,2,Grocery,2842
1,2,Grocery,3007
2,2,Grocery,13567
1,2,Grocery,2405
1,2,Grocery,8280
2,2,Grocery,19172
1,2,Grocery,2405
1,2,Grocery,7647
2,2,Grocery,11924
1,2,Grocery,2201
1,2,Grocery,6114
1,2,Grocery,3558
2,2,Grocery,17645
1,2,Grocery,2280
1,2,Grocery,5167
1,2,Grocery,3315
1,2,Grocery,11593
1,2,Grocery,2464
1,2,Grocery,13626
1,2,Grocery,1431
1,2,Grocery,1664
1,2,Grocery,3389
1,2,Grocery,4583
1,2,Grocery,5109
